est,lci,uci,time,state
0,0,0,0,Healthy
0,0,0,0,INT
0,0,0,0,CMD
0,0,0,0,INT -> CMD
0,0,0,0,CMD -> INT
0,0,0,0,CVE
0,0,0,0,Death
0.012730000000000019,0.005700000000000038,0.023005000000000015,0.526315789473684,Healthy
-0.008660000000000001,-0.014,-0.006495000000000005,0.526315789473684,INT
-0.006210000000000007,-0.014100000000000001,0.001907500000000006,0.526315789473684,CMD
-3.8999999999999994e-4,-9e-4,2e-4,0.526315789473684,INT -> CMD
-2.499999999999999e-4,-0.0015,2.0249999999999782e-4,0.526315789473684,CMD -> INT
0.0027799999999999995,0.0011000000000000003,0.0054,0.526315789473684,CVE
0,-3e-4,2.0249999999999777e-4,0.526315789473684,Death
0.020420000000000105,0.011890000000000027,0.034717499999999936,1.05263157894737,Healthy
-0.01601,-0.0224,-0.012200000000000003,1.05263157894737,INT
-0.006949999999999998,-0.017425000000000003,0.002407499999999979,1.05263157894737,CMD
-9.9e-4,-0.002,0,1.05263157894737,INT -> CMD
-0.0013800000000000002,-0.003502499999999999,-4.000000000000002e-4,1.05263157894737,CMD -> INT
0.004880000000000001,0.0025,0.0078,1.05263157894737,CVE
2.9999999999999984e-5,-4e-4,4.999999999999999e-4,1.05263157894737,Death
0.028940000000000077,0.016494999999999965,0.042809999999999945,1.57894736842105,Healthy
-0.021800000000000003,-0.028804999999999997,-0.0170975,1.57894736842105,INT
-0.009500000000000008,-0.01971499999999999,0.0034024999999999837,1.57894736842105,CMD
-0.00172,-0.0033,-3.0000000000000014e-4,1.57894736842105,INT -> CMD
-0.0026300000000000004,-0.0056025,-0.0013,1.57894736842105,CMD -> INT
0.006649999999999999,0.0034975000000000006,0.010199999999999999,1.57894736842105,CVE
5.9999999999999995e-5,-4.999999999999999e-4,6.000000000000001e-4,1.57894736842105,Death
0.03441000000000005,0.02159750000000006,0.05011000000000003,2.10526315789474,Healthy
-0.026740000000000003,-0.0349,-0.021295000000000005,2.10526315789474,INT
-0.009449999999999986,-0.020604999999999978,0.0043024999999999956,2.10526315789474,CMD
-0.00272,-0.0048000000000000004,-9.000000000000002e-4,2.10526315789474,INT -> CMD
-0.004110000000000001,-0.0081,-0.002597500000000002,2.10526315789474,CMD -> INT
0.00861,0.004600000000000001,0.012399999999999998,2.10526315789474,CVE
0,-5.000000000000001e-4,8e-4,2.10526315789474,Death
0.03952,0.026597499999999958,0.05770250000000008,2.63157894736842,Healthy
-0.030439999999999995,-0.039605,-0.025597500000000006,2.63157894736842,INT
-0.009239999999999998,-0.020717500000000017,0.005707500000000003,2.63157894736842,CMD
-0.00379,-0.0064025,-0.0017000000000000001,2.63157894736842,INT -> CMD
-0.0059900000000000005,-0.0106,-0.004,2.63157894736842,CMD -> INT
0.01005,0.005500000000000001,0.0149,2.63157894736842,CVE
-1.1000000000000002e-4,-7e-4,0.001,2.63157894736842,Death
0.04464999999999997,0.02959999999999996,0.06360249999999999,3.15789473684211,Healthy
-0.033789999999999994,-0.0439075,-0.0276,3.15789473684211,INT
-0.008719999999999978,-0.020005000000000016,0.006999999999999979,3.15789473684211,CMD
-0.005509999999999999,-0.0083,-0.0024,3.15789473684211,INT -> CMD
-0.00813,-0.0136025,-0.005697500000000003,3.15789473684211,CMD -> INT
0.011489999999999998,0.007000000000000001,0.016604999999999995,3.15789473684211,CVE
1.0000000000000026e-5,-7.999999999999999e-4,0.0012000000000000001,3.15789473684211,Death
0.049430000000000085,0.032595000000000075,0.0675,3.68421052631579,Healthy
-0.0377,-0.0475025,-0.03019000000000001,3.68421052631579,INT
-0.006989999999999996,-0.018899999999999976,0.009205000000000038,3.68421052631579,CMD
-0.007179999999999999,-0.010499999999999999,-0.0033,3.68421052631579,INT -> CMD
-0.01079,-0.016302499999999998,-0.0077950000000000024,3.68421052631579,CMD -> INT
0.013260000000000001,0.0080975,0.018505,3.68421052631579,CVE
-2.999999999999997e-5,-8.999999999999999e-4,0.0013,3.68421052631579,Death
0.053119999999999945,0.03509499999999992,0.07110250000000004,4.21052631578947,Healthy
-0.040459999999999996,-0.0503025,-0.032497500000000006,4.21052631578947,INT
-0.00497000000000003,-0.018900000000000028,0.011399999999999967,4.21052631578947,CMD
-0.00933,-0.013102499999999998,-0.0045000000000000005,4.21052631578947,INT -> CMD
-0.01345,-0.01951,-0.009097500000000001,4.21052631578947,CMD -> INT
0.01513,0.0094975,0.020802499999999995,4.21052631578947,CVE
-3.9999999999999996e-05,-0.001,0.0015,4.21052631578947,Death
0.05696000000000001,0.03820000000000001,0.07441000000000002,4.73684210526316,Healthy
-0.043519999999999996,-0.0531,-0.034792500000000004,4.73684210526316,INT
-0.00272,-0.01740249999999997,0.013510000000000003,4.73684210526316,CMD
-0.0112,-0.015300000000000001,-0.005397500000000003,4.73684210526316,INT -> CMD
-0.01647,-0.022704999999999996,-0.011297500000000004,4.73684210526316,CMD -> INT
0.01692,0.0109,0.022905,4.73684210526316,CVE
3.000000000000008e-5,-0.001,0.0018999999999999998,4.73684210526316,Death
0.060900000000000065,0.04039999999999999,0.07720000000000005,5.26315789473684,Healthy
-0.04537000000000001,-0.055805,-0.03589500000000001,5.26315789473684,INT
-0.0017800000000000038,-0.014100000000000001,0.018017499999999947,5.26315789473684,CMD
-0.013460000000000001,-0.0179,-0.006797500000000002,5.26315789473684,INT -> CMD
-0.01925,-0.0265,-0.013497500000000003,5.26315789473684,CMD -> INT
0.01898,0.012692499999999999,0.025199999999999997,5.26315789473684,CVE
-2.0000000000000052e-5,-0.0010999999999999998,0.001902499999999998,5.26315789473684,Death
0.06323999999999996,0.041700000000000015,0.07881499999999997,5.78947368421053,Healthy
-0.046869999999999995,-0.0577,-0.0364975,5.78947368421053,INT
8.199999999999874e-4,-0.012915000000000017,0.02211749999999999,5.78947368421053,CMD
-0.016009999999999996,-0.021002499999999997,-0.007587500000000011,5.78947368421053,INT -> CMD
-0.02193,-0.029502499999999997,-0.016099999999999996,5.78947368421053,CMD -> INT
0.020800000000000003,0.0138975,0.02751249999999999,5.78947368421053,CVE
-5.000000000000013e-5,-0.0011,0.0021000000000000003,5.78947368421053,Death
0.06468000000000002,0.04209500000000002,0.08101749999999995,6.31578947368421,Healthy
-0.04801,-0.05871,-0.0374,6.31578947368421,INT
0.0042099999999999915,-0.009804999999999975,0.023627499999999985,6.31578947368421,CMD
