baseline.a,from,to,t,p,lower,upper,t2,from_ordered
20,Healthy,Death,0.1,0,0,0,20.1,Otherwise healthy
20,INT,Death,0.1,0,0,4.0249999999999775e-4,20.1,INT
20,CMD,Death,0.1,1e-4,0,8e-4,20.1,CMD
20,INT->CMD,Death,0.1,0,0,2e-4,20.1,INT->CMD
20,CMD->INT,Death,0.1,0,0,2e-4,20.1,CMD -> INT
20,CVE,Death,0.1,0,0,0,20.1,NA
20,Death,Death,0.1,1,1,1,20.1,NA
20,Healthy,Healthy,0.2,0.9898,0.9867975000000001,0.9912025,20.2,Otherwise healthy
20,INT,Healthy,0.2,0,0,0,20.2,INT
20,CMD,Healthy,0.2,0,0,0,20.2,CMD
20,INT->CMD,Healthy,0.2,0,0,0,20.2,INT->CMD
20,CMD->INT,Healthy,0.2,0,0,0,20.2,CMD -> INT
20,CVE,Healthy,0.2,0,0,0,20.2,NA
20,Death,Healthy,0.2,0,0,0,20.2,NA
20,Healthy,INT,0.2,0.0069,0.0056,0.009702499999999998,20.2,Otherwise healthy
20,INT,INT,0.2,0.9945,0.9917,0.997005,20.2,INT
20,CMD,INT,0.2,0,0,0,20.2,CMD
20,INT->CMD,INT,0.2,0,0,0,20.2,INT->CMD
20,CMD->INT,INT,0.2,0,0,0,20.2,CMD -> INT
20,CVE,INT,0.2,0,0,0,20.2,NA
20,Death,INT,0.2,0,0,0,20.2,NA
20,Healthy,CMD,0.2,0.0032,0.0020975000000000004,0.004404999999999996,20.2,Otherwise healthy
20,INT,CMD,0.2,0,0,0,20.2,INT
20,CMD,CMD,0.2,0.9825,0.9773,0.9879,20.2,CMD
20,INT->CMD,CMD,0.2,0,0,0,20.2,INT->CMD
20,CMD->INT,CMD,0.2,0,0,0,20.2,CMD -> INT
20,CVE,CMD,0.2,0,0,0,20.2,NA
20,Death,CMD,0.2,0,0,0,20.2,NA
20,Healthy,INT->CMD,0.2,0,0,1.0249999999999772e-4,20.2,Otherwise healthy
20,INT,INT->CMD,0.2,0.0055,0.0027,0.008002499999999997,20.2,INT
20,CMD,INT->CMD,0.2,0,0,0,20.2,CMD
20,INT->CMD,INT->CMD,0.2,0.9998,0.9988,1,20.2,INT->CMD
20,CMD->INT,INT->CMD,0.2,0,0,0,20.2,CMD -> INT
20,CVE,INT->CMD,0.2,0,0,0,20.2,NA
20,Death,INT->CMD,0.2,0,0,0,20.2,NA
20,Healthy,CMD->INT,0.2,0,0,1e-4,20.2,Otherwise healthy
20,INT,CMD->INT,0.2,0,0,0,20.2,INT
20,CMD,CMD->INT,0.2,0.0169,0.011697500000000001,0.0216,20.2,CMD
20,INT->CMD,CMD->INT,0.2,0,0,0,20.2,INT->CMD
20,CMD->INT,CMD->INT,0.2,0.9999,0.998,1,20.2,CMD -> INT
20,CVE,CMD->INT,0.2,0,0,0,20.2,NA
20,Death,CMD->INT,0.2,0,0,0,20.2,NA
20,Healthy,CVE,0.2,1e-4,0,2e-4,20.2,Otherwise healthy
20,INT,CVE,0.2,0,0,3e-4,20.2,INT
20,CMD,CVE,0.2,5e-4,0,0.0013,20.2,CMD
20,INT->CMD,CVE,0.2,2e-4,0,0.0011024999999999978,20.2,INT->CMD
20,CMD->INT,CVE,0.2,1e-4,0,0.0019,20.2,CMD -> INT
20,CVE,CVE,0.2,1,1,1,20.2,NA
20,Death,CVE,0.2,0,0,0,20.2,NA
20,Healthy,Death,0.2,0,0,1e-4,20.2,Otherwise healthy
20,INT,Death,0.2,0,0,5e-4,20.2,INT
20,CMD,Death,0.2,1e-4,0,9e-4,20.2,CMD
20,INT->CMD,Death,0.2,0,0,2e-4,20.2,INT->CMD
20,CMD->INT,Death,0.2,0,0,2.0249999999999774e-4,20.2,CMD -> INT
20,CVE,Death,0.2,0,0,0,20.2,NA
20,Death,Death,0.2,1,1,1,20.2,NA
20,Healthy,Healthy,0.30000000000000004,0.9846,0.9806975,0.986605,20.3,Otherwise healthy
20,INT,Healthy,0.30000000000000004,0,0,0,20.3,INT
20,CMD,Healthy,0.30000000000000004,0,0,0,20.3,CMD
20,INT->CMD,Healthy,0.30000000000000004,0,0,0,20.3,INT->CMD
20,CMD->INT,Healthy,0.30000000000000004,0,0,0,20.3,CMD -> INT
20,CVE,Healthy,0.30000000000000004,0,0,0,20.3,NA
20,Death,Healthy,0.30000000000000004,0,0,0,20.3,NA
20,Healthy,INT,0.30000000000000004,0.0104,0.009,0.0143,20.3,Otherwise healthy
20,INT,INT,0.30000000000000004,0.9927,0.98889,0.9957,20.3,INT
20,CMD,INT,0.30000000000000004,0,0,0,20.3,CMD
20,INT->CMD,INT,0.30000000000000004,0,0,0,20.3,INT->CMD
20,CMD->INT,INT,0.30000000000000004,0,0,0,20.3,CMD -> INT
20,CVE,INT,0.30000000000000004,0,0,0,20.3,NA
20,Death,INT,0.30000000000000004,0,0,0,20.3,NA
20,Healthy,CMD,0.30000000000000004,0.0049,0.0032,0.006202499999999997,20.3,Otherwise healthy
20,INT,CMD,0.30000000000000004,0,0,0,20.3,INT
20,CMD,CMD,0.30000000000000004,0.977,0.9684,0.9821,20.3,CMD
20,INT->CMD,CMD,0.30000000000000004,0,0,0,20.3,INT->CMD
20,CMD->INT,CMD,0.30000000000000004,0,0,0,20.3,CMD -> INT
20,CVE,CMD,0.30000000000000004,0,0,0,20.3,NA
20,Death,CMD,0.30000000000000004,0,0,0,20.3,NA
20,Healthy,INT->CMD,0.30000000000000004,0,0,2e-4,20.3,Otherwise healthy
20,INT,INT->CMD,0.30000000000000004,0.0073,0.004,0.010502499999999998,20.3,INT
20,CMD,INT->CMD,0.30000000000000004,0,0,0,20.3,CMD
20,INT->CMD,INT->CMD,0.30000000000000004,0.9996,0.9985,0.9999,20.3,INT->CMD
20,CMD->INT,INT->CMD,0.30000000000000004,0,0,0,20.3,CMD -> INT
20,CVE,INT->CMD,0.30000000000000004,0,0,0,20.3,NA
20,Death,INT->CMD,0.30000000000000004,0,0,0,20.3,NA
20,Healthy,CMD->INT,0.30000000000000004,0,0,2e-4,20.3,Otherwise healthy
20,INT,CMD->INT,0.30000000000000004,0,0,0,20.3,INT
20,CMD,CMD->INT,0.30000000000000004,0.0223,0.017,0.029917499999999982,20.3,CMD
20,INT->CMD,CMD->INT,0.30000000000000004,0,0,0,20.3,INT->CMD
20,CMD->INT,CMD->INT,0.30000000000000004,0.9999,0.9968975,1,20.3,CMD -> INT
20,CVE,CMD->INT,0.30000000000000004,0,0,0,20.3,NA
20,Death,CMD->INT,0.30000000000000004,0,0,0,20.3,NA
20,Healthy,CVE,0.30000000000000004,1e-4,0,2e-4,20.3,Otherwise healthy
20,INT,CVE,0.30000000000000004,0,0,4e-4,20.3,INT
