est,lci,uci,time,state
0,0,0,0,Healthy
0,0,0,0,INT
0,0,0,0,CMD
0,0,0,0,INT -> CMD
0,0,0,0,CMD -> INT
0,0,0,0,CVE
0,0,0,0,Death
-0.02676999999999996,-0.03501250000000002,-0.015297500000000092,0.526315789473684,Healthy
0.0023,-0.003300000000000001,0.005202499999999997,0.526315789473684,INT
0.023349999999999996,0.014792499999999997,0.03171249999999998,0.526315789473684,CMD
2.1e-4,-5e-4,9.999999999999998e-4,0.526315789473684,INT -> CMD
9e-4,-6.000000000000001e-4,0.0018999999999999998,0.526315789473684,CMD -> INT
1.0000000000000026e-5,-9.999999999999998e-4,0.0016,0.526315789473684,CVE
0,-2e-4,4e-4,0.526315789473684,Death
-0.03892999999999991,-0.04930000000000001,-0.02479499999999994,1.05263157894737,Healthy
0.00213,-0.004400000000000001,0.006802499999999998,1.05263157894737,INT
0.03384999999999999,0.02329749999999999,0.04510499999999999,1.05263157894737,CMD
9.699999999999999e-4,-7.999999999999999e-4,0.002,1.05263157894737,INT -> CMD
0.0016599999999999996,-4.999999999999996e-4,0.003402499999999998,1.05263157894737,CMD -> INT
2.899999999999999e-4,-0.0012024999999999994,0.002,1.05263157894737,CVE
2.9999999999999984e-5,-3e-4,6.024999999999978e-4,1.05263157894737,Death
-0.046579999999999955,-0.060504999999999996,-0.03288500000000005,1.57894736842105,Healthy
5.799999999999972e-4,-0.005402500000000001,0.0072050000000000005,1.57894736842105,INT
0.04027999999999998,0.028100000000000014,0.05500249999999999,1.57894736842105,CMD
0.0021799999999999996,-8.024999999999995e-4,0.0031024999999999976,1.57894736842105,INT -> CMD
0.0031899999999999993,1.0000000000000024e-4,0.005602499999999998,1.57894736842105,CMD -> INT
2.4999999999999935e-4,-0.0012000000000000003,0.0026999999999999997,1.57894736842105,CVE
9.999999999999999e-5,-3.9999999999999996e-4,9.999999999999998e-4,1.57894736842105,Death
-0.05384,-0.06882749999999996,-0.03789500000000005,2.10526315789474,Healthy
-6.0000000000004494e-5,-0.0068024999999999995,0.008002499999999997,2.10526315789474,INT
0.04582,0.031895000000000014,0.06130999999999998,2.10526315789474,CMD
0.0027400000000000002,-8.999999999999998e-4,0.0042,2.10526315789474,INT -> CMD
0.0046,7.975000000000011e-4,0.007604999999999996,2.10526315789474,CMD -> INT
6.900000000000005e-4,-0.0011999999999999997,0.0030999999999999995,2.10526315789474,CVE
5.000000000000002e-5,-4e-4,0.0012,2.10526315789474,Death
-0.06140000000000001,-0.07540000000000002,-0.04360000000000008,2.63157894736842,Healthy
-3.2000000000000084e-4,-0.007702499999999998,0.008099999999999996,2.63157894736842,INT
0.05080000000000001,0.036777499999999984,0.06564249999999998,2.63157894736842,CMD
0.00375,-0.0011049999999999986,0.0056,2.63157894736842,INT -> CMD
0.006129999999999998,0.0013974999999999994,0.009702499999999998,2.63157894736842,CMD -> INT
0.0010300000000000005,-0.0012,0.0036049999999999962,2.63157894736842,CVE
9.999999999999918e-6,-5e-4,0.001402499999999998,2.63157894736842,Death
-0.06695000000000007,-0.08081249999999997,-0.047597500000000084,3.15789473684211,Healthy
-7.89999999999999e-4,-0.009407500000000004,0.007800000000000001,3.15789473684211,INT
0.05367000000000002,0.03818000000000002,0.07010000000000002,3.15789473684211,CMD
0.004740000000000001,-0.0012,0.0069,3.15789473684211,INT -> CMD
0.00792,0.0017999999999999995,0.012104999999999994,3.15789473684211,CMD -> INT
0.00132,-0.0011999999999999997,0.004199999999999999,3.15789473684211,CVE
9.000000000000002e-5,-6.000000000000001e-4,0.0017000000000000001,3.15789473684211,Death
-0.06831999999999994,-0.08550250000000002,-0.0504875,3.68421052631579,Healthy
-0.003019999999999995,-0.01119999999999999,0.007199999999999998,3.68421052631579,INT
0.05473,0.04039999999999999,0.07440250000000002,3.68421052631579,CMD
0.005620000000000002,-0.001202499999999999,0.008102499999999999,3.68421052631579,INT -> CMD
0.00928,0.0029,0.0140025,3.68421052631579,CMD -> INT
0.0015799999999999998,-0.0010049999999999974,0.0049025,3.68421052631579,CVE
1.3000000000000002e-4,-7e-4,0.0021049999999999958,3.68421052631579,Death
-0.07088,-0.08862000000000006,-0.05318750000000003,4.21052631578947,Healthy
-0.004369999999999999,-0.013014999999999992,0.005909999999999993,4.21052631578947,INT
0.05606999999999995,0.04169000000000001,0.07620499999999998,4.21052631578947,CMD
0.0064100000000000025,-0.001402500000000001,0.009904999999999997,4.21052631578947,INT -> CMD
0.010530000000000001,0.004092500000000002,0.01680999999999999,4.21052631578947,CMD -> INT
0.0019100000000000002,-0.0011024999999999993,0.005599999999999999,4.21052631578947,CVE
3.3e-4,-7e-4,0.0023049999999999954,4.21052631578947,Death
-0.07200999999999996,-0.09180999999999999,-0.0544975,4.73684210526316,Healthy
-0.007749999999999993,-0.014399999999999996,0.005699999999999997,4.73684210526316,INT
0.05660000000000004,0.04319250000000002,0.076515,4.73684210526316,CMD
0.00783,-0.0016099999999999973,0.011407499999999994,4.73684210526316,INT -> CMD
0.012470000000000002,0.004697500000000004,0.019402500000000003,4.73684210526316,CMD -> INT
0.00255,-9.024999999999989e-4,0.0063999999999999994,4.73684210526316,CVE
3.0999999999999995e-4,-7.999999999999999e-4,0.0026024999999999976,4.73684210526316,Death
-0.07449999999999996,-0.09330499999999999,-0.05670000000000003,5.26315789473684,Healthy
-0.00952,-0.01630000000000001,0.005502500000000003,5.26315789473684,INT
0.057469999999999966,0.042597499999999976,0.07731249999999996,5.26315789473684,CMD
0.008899999999999998,-0.0029,0.012899999999999998,5.26315789473684,INT -> CMD
0.014179999999999998,0.006297500000000001,0.021602499999999997,5.26315789473684,CMD -> INT
0.00315,-8.999999999999998e-4,0.006804999999999996,5.26315789473684,CVE
3.1999999999999997e-4,-8.024999999999991e-4,0.0029999999999999996,5.26315789473684,Death
-0.07529000000000002,-0.0942125,-0.05889500000000001,5.78947368421053,Healthy
-0.011619999999999991,-0.018500000000000003,0.0030025000000000004,5.78947368421053,INT
0.05709000000000003,0.04169999999999996,0.07690250000000001,5.78947368421053,CMD
0.009870000000000004,-0.0031024999999999976,0.014604999999999995,5.78947368421053,INT -> CMD
0.015690000000000003,0.007897499999999998,0.024007499999999987,5.78947368421053,CMD -> INT
0.003879999999999998,-9.000000000000015e-4,0.007300000000000001,5.78947368421053,CVE
